Title,Year,Rating,TotalVotes,Genre1,Genre2,Genre3,MetaCritic,Runtime,Budget,CVotes01,CVotes02,CVotes03,CVotes04,CVotes05,CVotes06,CVotes07,CVotes08,CVotes09,CVotes1000,CVotes1829,CVotes1829F,CVotes1829M,CVotes3044,CVotes3044F,CVotes3044M,CVotes45A,CVotes45AF,CVotes45AM,CVotesFemale,CVotesMale,CVotesU18,CVotesU18F,CVotesU18M,CVotesUS,CVotesnUS,Votes1000,Votes1829,Votes1829F,Votes1829M,Votes3044,Votes3044F,Votes3044M,Votes45A,Votes45AF,Votes45AM,VotesF,VotesIMDB,VotesM,VotesU18,VotesU18F,VotesU18M,VotesUS,VotesnUS,CVotes10
12 Years a Slave,2013,8.1,"496,092",Biography,Drama,History,96,134 min,"$20,000,000 ",4739,1785,2420,4021,9603,27231,83070,161460,126223,664,200910,45301,153669,138762,23895,112943,29252,5726,23072,82012,313823,1837,457,1363,53328,224519,7.7,8.2,8.2,8.2,8,8,7.9,7.8,8.1,7.8,8.1,8,8.1,8.4,8.5,8.4,8.3,8,75556
127 Hours,2010,7.6,"297,075",Adventure,Biography,Drama,82,94 min,"$18,000,000 ",2059,1161,1930,3796,9403,28394,78451,98845,44110,649,133336,26152,106007,102120,14304,86609,14895,2261,12400,44600,212866,745,170,567,38478,169745,7,7.7,7.7,7.8,7.5,7.5,7.5,7.3,7.5,7.3,7.6,7.6,7.6,7.9,7.9,7.9,7.7,7.6,28939
50/50,2011,7.7,"283,935",Comedy,Drama,Romance,72,100 min,"$8,000,000 ",1202,634,1109,2381,7545,24252,71485,99524,47501,555,132350,34765,96269,94745,18163,75394,12829,2681,9912,58348,188925,506,153,348,46947,147849,7,7.8,7.7,7.8,7.6,7.6,7.6,7.4,7.5,7.4,7.7,7.4,7.7,7.9,7.9,7.9,7.9,7.6,28304
About Time,2013,7.8,"225,412",Comedy,Drama,Fantasy,,123 min,"$12,000,000 ",1182,664,1084,2210,5673,16542,45487,70850,43170,475,92940,34126,57778,67477,16222,50212,13973,3026,10690,58098,126718,654,321,325,20450,111670,6.9,8,8,8,7.6,7.7,7.6,7.6,7.8,7.5,7.9,7.7,7.8,8.2,8.3,8.1,7.8,7.7,38556
Amour,2012,7.9,"76,121",Drama,Romance,,94,127 min,"$8,900,000 ",995,534,710,1188,2585,5945,14187,22942,15944,391,28593,8167,20107,28691,6269,21990,7425,1490,5803,16719,49808,121,24,95,7959,46138,7.2,8,7.9,8,7.7,7.9,7.7,7.9,8.1,7.8,7.9,6.6,7.8,8.6,8.5,8.7,7.9,7.8,11093
Argo,2012,7.7,"486,840",Action,Biography,Drama,86,120 min,"$44,500,000 ",6941,2020,2910,4992,12630,37332,115165,171495,89490,740,178794,30643,146371,163795,24948,136391,36215,6752,28817,67910,334838,971,162,795,70110,229137,7.2,7.8,7.9,7.8,7.7,7.8,7.6,7.7,8,7.7,7.9,8.1,7.7,8,7.8,8,8,7.6,43875
Arrival,2016,8,"370,842",Drama,Mystery,Sci-Fi,81,116 min,"$47,000,000 ",4734,2194,3083,5057,10556,26913,65440,109536,87850,537,126301,23163,101741,111985,15227,95005,24027,3440,20118,46272,237437,1943,376,1544,42062,163774,7.3,8.2,8.1,8.2,7.8,7.8,7.8,7.6,7.7,7.6,8,8.3,7.9,8.6,8.4,8.6,8,7.9,55533
Beasts of No Nation,2015,7.8,"51,781",Drama,War,,79,137 min,"$6,000,000 ",337,95,137,325,948,3380,12164,19639,9364,224,20628,2205,18200,15846,1500,14120,3009,409,2541,4422,37373,210,19,188,7004,24596,7.2,7.9,7.9,7.9,7.6,7.7,7.6,7.6,7.7,7.6,7.8,8.2,7.8,8.2,8,8.2,7.9,7.7,5396
Before Midnight,2013,7.9,"106,553",Drama,Romance,,94,109 min,"$3,000,000 ",1745,826,1033,1649,3412,8142,19251,31439,22109,447,43312,12857,30016,37072,8189,28401,7479,1470,5891,23823,67076,208,66,138,12382,59116,7,8.1,7.9,8.2,7.8,7.6,7.8,7.3,7.2,7.4,7.8,8.5,7.9,8.1,7.4,8.3,8,7.9,16953
Big Hero 6,2014,7.8,"315,485",Animation,Action,Adventure,74,,"Opening Weekend:         56,215,889              (USA)      (7 November 2014)",1439,539,1036,2251,6830,22389,65681,103726,61304,525,128237,35122,91744,84098,14796,68040,13974,2400,11304,58731,187383,2446,855,1571,36702,131818,7.2,7.9,8.3,7.8,7.7,8,7.6,7.6,7.9,7.6,8.2,7.9,7.7,8.2,8.7,8,7.9,7.7,50311
Birdman or ( The Unexpected Virtue of Ignorance),2014,7.8,"448,725",Comedy,Drama,,88,119 min,"$18,000,000 ",11807,5378,6750,10116,19161,38373,80828,121637,94476,656,178850,34666,142244,129547,19457,108049,26016,4329,21166,63310,292808,1891,334,1538,52288,203731,7.1,8,7.7,8.1,7.6,7.3,7.6,7.2,7,7.3,7.5,7.8,7.8,8.5,7.9,8.6,7.9,7.7,60209
Black Swan,2010,8,"587,893",Drama,Thriller,,79,108 min,"$13,000,000 ",8726,3981,6065,9084,16993,40319,97826,174500,136615,802,244970,82856,159567,204465,45352,156163,35111,7459,27022,143077,356707,1112,516,583,86552,306578,7.6,8.1,8.1,8.1,7.9,8,7.9,7.5,7.4,7.5,8,7.9,8,8.5,8.4,8.6,8,8,93798
Boyhood,2014,7.9,"290,327",Drama,,,100,165 min,"$4,000,000 ",5086,2248,3071,4906,10431,23789,52238,76838,62055,559,123006,29076,92639,81594,15118,65261,17881,3567,13995,51558,183807,1393,381,995,36433,134679,7.2,8.1,7.8,8.1,7.8,7.6,7.8,7.7,7.7,7.7,7.7,8.2,8,8.1,8,8.1,8,7.9,49673
Bridge of Spies,2015,7.6,"223,756",Drama,History,Thriller,81,142 min,"$40,000,000 ",878,419,735,1657,5178,19183,63800,83322,32840,545,76784,11177,64810,70780,8196,61525,18494,2667,15504,23978,152707,846,104,732,24273,105678,7.4,7.7,7.6,7.7,7.5,7.5,7.5,7.7,7.9,7.6,7.6,7.7,7.6,7.9,7.8,7.9,7.7,7.5,15757
Captain America: Civil War,2016,7.9,"431,555",Action,Adventure,Sci-Fi,75,147 min,"$250,000,000 ",7786,1989,2994,5095,12322,32782,79377,117188,90156,593,148991,23355,124124,105069,12135,91345,19151,2459,16351,43818,264239,3572,683,2865,48777,153638,7.5,8,8,8,7.7,7.8,7.7,7.6,7.9,7.6,7.9,7.7,7.8,8.3,8.6,8.3,8.1,7.7,81893
Captain America: The Winter Soldier,2014,7.8,"552,706",Action,Adventure,Sci-Fi,70,136 min,"$170,000,000 ",5248,1932,2735,5571,14639,44124,120197,169440,103896,720,208526,36456,170111,150264,18637,129500,28922,4103,24313,66751,360615,3765,844,2900,72120,213180,7.5,7.8,7.9,7.8,7.6,7.7,7.6,7.7,7.8,7.6,7.9,7.6,7.7,8.3,8.5,8.2,8.1,7.5,84943
Captain Fantastic,2016,7.9,"115,194",Comedy,Drama,,72,,"Opening Weekend:         93,824              (USA)      (8 July 2016)",832,419,542,982,2255,7134,22429,39686,24762,351,40918,9707,30740,36357,6414,29410,8123,1433,6521,19138,71760,447,112,329,10694,56956,6.8,8,8.2,8,7.8,7.9,7.7,7.7,7.9,7.6,8.1,8.5,7.9,8.2,8.2,8.2,7.8,7.8,16165
Captain Phillips,2013,7.8,"350,818",Biography,Drama,Thriller,83,134 min,"$55,000,000 ",1517,707,1062,2051,6099,21791,76657,133266,70216,633,131052,19092,110723,114418,14686,98191,24670,4053,20178,41602,247889,995,147,838,43042,165981,7.4,8,7.9,8,7.7,7.8,7.7,7.7,8,7.7,7.9,8,7.8,8.2,8.1,8.2,7.8,7.8,37461
Creed,2015,7.6,"179,795",Drama,Sport,,82,133 min,"$35,000,000 ",1151,464,848,1655,5118,16432,45563,58237,28964,474,61826,5778,55428,56944,4828,51344,10691,1369,9142,13323,126214,888,72,811,25287,75302,7.1,7.8,7.6,7.8,7.4,7.4,7.4,7.3,7.5,7.3,7.5,7.8,7.6,8.3,8.1,8.3,7.9,7.5,21364
Dallas Buyers Club,2013,8,"357,641",Biography,Drama,,84,117 min,"$5,000,000 ",1588,654,870,1721,4582,16777,66156,145488,82276,598,145018,32974,110493,110555,20687,88233,22093,4743,16963,63266,231258,864,205,650,42222,173002,7.2,8.1,8.1,8.1,7.8,8,7.8,7.8,8,7.8,8.1,7.9,7.9,8.2,8.1,8.2,8,7.9,37544
Dawn of the Planet of the Apes,2014,7.6,"349,646",Action,Adventure,Drama,79,130 min,"$170,000,000 ",2707,1470,2392,4734,11561,33747,84789,112652,58021,649,128574,15469,111856,110394,10765,98110,21701,2510,18794,32032,250421,1720,236,1468,42877,154981,7.4,7.7,7.5,7.8,7.5,7.4,7.5,7.4,7.4,7.4,7.5,7.2,7.6,8,7.9,8,7.8,7.5,37605
Deadpool,2016,8,"652,127",Action,Adventure,Comedy,65,108 min,"$58,000,000 ",8538,3037,4273,7046,15510,41811,105717,170810,147966,667,232840,44316,186139,159222,21521,135428,28753,4009,24218,79804,391955,4598,969,3601,67933,241138,7.3,8.1,8.1,8.1,7.9,7.9,7.9,7.8,7.9,7.8,8.1,8,8,8.4,8.6,8.4,8.1,7.9,147467
Despicable Me,2010,7.7,"417,592",Animation,Adventure,Comedy,72,,"Opening Weekend:         56,397,125              (USA)      (9 July 2010)",1825,1024,1862,4000,11448,35207,102534,136943,66298,721,179397,54800,122880,123041,25612,95843,21471,4293,16853,91545,251408,2241,700,1523,57957,196751,7,7.8,8.1,7.7,7.6,7.9,7.5,7.6,7.9,7.5,8,7.4,7.6,7.7,7.9,7.6,7.6,7.6,56474
Detachment,2011,7.7,"62,352",Drama,,,,,"Opening Weekend:         10,739              (USA)      (16 March 2012)",394,208,360,711,1741,4740,13503,20411,11683,297,25612,7432,17887,22857,4435,18073,4509,816,3601,13291,40924,77,36,38,6124,36753,6.5,7.9,8,7.9,7.6,7.7,7.6,7.5,7.7,7.5,7.9,6.7,7.7,7.9,8.1,7.6,7.5,7.7,8602
Disconnect,2012,7.6,"65,448",Drama,Thriller,,64,115 min,"$10,000,000 ",411,197,292,684,1830,6206,18117,22255,9374,292,24661,6083,18309,24359,4457,19571,5324,925,4304,12217,44411,75,25,48,7004,36390,6.4,7.7,7.7,7.7,7.5,7.4,7.5,7.4,7.6,7.4,7.6,5.9,7.6,7.9,7.9,8,7.4,7.5,6085
Django Unchained,2012,8.4,"1,056,822",Drama,Western,,81,165 min,"$100,000,000 ",8065,3181,4149,6469,14227,38251,121445,286911,339329,816,410538,74006,332690,301231,43774,253253,57463,8962,47535,139226,695211,3250,501,2726,123423,448126,7.8,8.6,8.5,8.6,8.3,8.3,8.3,8,8.1,8,8.4,8,8.4,8.8,8.5,8.9,8.4,8.4,234824
Doctor Strange,2016,7.6,"328,932",Action,Adventure,Fantasy,72,115 min,"$165,000,000 ",2667,1038,1854,3786,10744,32430,83322,102744,51465,545,117060,22484,93330,87961,12327,74305,17122,2629,14163,42203,202386,2526,540,1970,36644,133095,7.1,7.6,7.8,7.6,7.4,7.7,7.4,7.5,7.8,7.4,7.8,7.7,7.5,8,8.3,8,7.6,7.4,38952
Drive,2011,7.8,"467,642",Crime,Drama,,78,100 min,"$15,000,000 ",8576,4114,5694,9132,17321,38557,82653,130187,96998,737,183472,32549,149002,176080,24691,148869,27894,3905,23441,64201,336319,862,143,711,70338,247150,7.6,7.9,7.6,8,7.7,7.5,7.8,7.4,7.4,7.4,7.6,7.8,7.9,8.5,7.9,8.5,8,7.8,74421
Edge of Tomorrow,2014,7.9,"480,513",Action,Adventure,Sci-Fi,71,113 min,"$178,000,000 ",1661,857,1368,2858,8145,28982,100724,175961,99596,691,172016,21495,148814,157476,16463,138752,30965,3820,26562,45790,341199,1893,292,1584,55486,217557,7.5,8,7.8,8,7.8,7.7,7.8,7.8,7.8,7.8,7.8,8.1,7.9,8.2,8.2,8.1,8,7.8,60383
End of Watch,2012,7.7,"194,675",Crime,Drama,Thriller,68,109 min,"$7,000,000 ",1521,805,1186,2235,5370,15489,46486,68590,32267,537,70095,7250,62195,73097,7265,64952,13479,1719,11530,17678,147679,261,22,235,32761,94643,6.5,7.8,7.7,7.8,7.5,7.5,7.5,7.4,7.5,7.4,7.6,7.9,7.6,7.9,7.8,7.9,7.7,7.6,20733
Ex Machina,2014,7.7,"348,550",Drama,Mystery,Sci-Fi,78,108 min,"$15,000,000 ",2182,1165,1951,3806,9579,28662,82736,123938,64769,611,126754,22173,103143,113021,13354,97929,23940,2697,20773,41160,237599,1154,242,899,42556,164526,7.5,7.9,7.6,7.9,7.6,7.4,7.6,7.6,7.4,7.6,7.5,8.2,7.8,8,7.8,8.1,7.9,7.7,29780
Flipped,2010,7.7,"66,461",Comedy,Drama,Romance,,,"$14,000,000 ",402,230,321,664,1848,5412,14372,20808,11050,275,32475,15217,16916,18576,5338,12982,3399,721,2616,22540,33714,320,207,108,7362,36050,6.4,7.9,8,7.8,7.5,7.7,7.5,7.4,7.6,7.3,7.9,7.5,7.6,8,8.3,7.6,7.5,7.7,11354
Fury,2014,7.6,"337,571",Action,Drama,War,64,134 min,"$68,000,000 ",3246,1629,2388,4303,10553,30231,82505,111271,54703,548,127986,15886,110868,99386,9444,88611,21524,2392,18781,30746,238800,1234,196,1028,35750,148301,6.8,7.7,7.7,7.7,7.4,7.4,7.4,7.4,7.4,7.4,7.6,7.2,7.6,8,8.3,8,7.6,7.5,36753
Gone Girl,2014,8.1,"649,474",Crime,Drama,Mystery,79,149 min,"$61,000,000 ",5500,2247,3262,5285,11691,32989,103600,218018,177373,689,260425,64291,193602,179552,32133,144771,34696,6840,27226,113606,397571,2286,665,1598,70667,280587,7.6,8.3,8.2,8.3,7.9,7.9,8,7.7,7.7,7.7,8.1,8.2,8.1,8.5,8.4,8.6,8.1,8.1,89539
Gravity,2013,7.8,"630,890",Drama,Sci-Fi,Thriller,96,91 min,"$100,000,000 ",12473,5751,7868,12286,25393,57564,122275,169693,127616,771,233044,43833,186837,203844,29467,171281,44088,6764,36531,87618,427135,2173,468,1684,76797,292714,7.5,7.8,7.5,7.9,7.8,7.5,7.8,7.7,7.5,7.7,7.5,8.4,7.8,7.5,7.4,7.6,7.9,7.8,89986
Guardians of the Galaxy,2014,8.1,"778,220",Action,Adventure,Sci-Fi,76,121 min,"$170,000,000 ",7714,3243,4772,8326,18501,49009,127878,216876,185326,774,288707,54884,231018,207895,28924,176032,42006,6802,34512,101957,491689,5154,1170,3949,97905,296439,7.6,8.1,8.1,8.1,7.9,8,7.9,7.9,8,7.9,8.1,8.3,8,8.4,8.5,8.4,8.3,7.9,156606
Hacksaw Ridge,2016,8.2,"244,314",Biography,Drama,History,71,139 min,"$40,000,000 ",1541,639,939,1857,4297,11126,34213,69445,66161,465,89668,13856,75012,61304,7211,53275,14352,2088,12020,26285,156398,1929,355,1566,26686,100119,7.8,8.3,8.4,8.3,7.9,8.1,7.9,8.1,8.4,8,8.3,8.2,8.1,8.7,8.9,8.7,8.2,8,54165
Harry Potter and the Deathly Hallows: Part 1,2010,7.7,"363,226",Adventure,Family,Fantasy,65,146 min," £150,000,000",4522,1617,2454,4808,11792,31205,80465,102488,54947,734,178871,51112,126052,94328,20145,73103,18077,3750,14073,79506,223868,1967,638,1310,56139,180885,6.7,7.9,8.3,7.7,7.4,8.1,7.3,7.4,8,7.3,8.2,8,7.5,8.1,8.6,7.9,7.9,7.5,68937
Hell or High Water,2016,7.7,"125,026",Crime,Drama,Thriller,88,102 min,"$12,000,000 ",471,233,475,932,3102,11130,35212,45260,19789,403,41898,4370,37112,40564,3817,36251,10696,1425,9091,10427,88398,564,43,519,18746,57907,7.3,7.7,7.4,7.8,7.5,7.4,7.6,7.6,7.7,7.6,7.4,8,7.7,8.1,7.7,8.1,7.9,7.5,8445
Her,2013,8,"398,431",Drama,Romance,Sci-Fi,90,126 min,"$23,000,000 ",4841,2464,3517,5673,11647,27718,67804,117761,95920,612,167097,42078,123183,119227,21544,95815,21741,3770,17515,72611,252724,1193,330,851,48466,188937,7.3,8.2,7.9,8.2,7.8,7.6,7.8,7.4,7,7.4,7.8,7.7,8,8.5,8,8.6,8.1,7.9,61098
Hidden Figures,2016,7.8,"111,357",Biography,Drama,History,74,127 min,"$25,000,000 ",1111,292,296,685,1812,6287,23277,39272,21245,347,35076,12543,22114,32331,8288,23539,11025,2848,7969,26503,58466,671,251,410,17182,45276,6.9,7.8,8.3,7.7,7.7,8.1,7.6,8,8.5,7.9,8.3,8.4,7.7,8,8.6,7.7,7.9,7.7,17102
How to Train Your Dragon 2,2014,7.9,"240,983",Animation,Action,Adventure,76,,"Opening Weekend:         49,451,322              (USA)      (13 June 2014)",1373,586,897,1936,5547,17632,49766,74727,45890,487,106062,27287,77742,61623,11407,49351,10008,2009,7813,45334,147074,1714,544,1158,27102,103921,7.2,8,8.2,7.9,7.6,7.9,7.5,7.6,7.9,7.5,8.1,7.5,7.8,8.1,8.4,7.9,7.8,7.7,42636
How to Train Your Dragon,2010,8.1,"532,296",Animation,Action,Adventure,74,,"Opening Weekend:         43,732,319              (USA)      (26 March 2010)",3091,1007,1535,2953,8277,26766,89478,167836,127521,744,232014,62711,167259,151469,29483,120140,26139,5320,20418,105104,327837,2783,824,1940,73637,244365,7.4,8.3,8.5,8.2,8,8.4,8,7.9,8.2,7.9,8.4,8,8.1,8,8.3,7.9,8.1,8.1,103844
Hugo,2011,7.5,"261,953",Adventure,Drama,Family,83,126 min,"$150,000,000 ",3023,1700,2674,4664,11179,27932,62936,77893,40728,669,105814,25620,79064,93126,15694,76098,22136,4065,17667,47795,179655,884,250,616,39127,142850,7.4,7.7,7.7,7.7,7.4,7.4,7.4,7.5,7.6,7.5,7.6,7.4,7.5,7.8,7.6,7.8,7.7,7.5,29228
Hunt for the Wilderpeople,2016,7.9,"56,964",Adventure,Comedy,Drama,81,,"Opening Weekend:         77,298              (USA)      (24 June 2016)",259,150,224,404,1084,3709,11626,19930,12086,240,19647,3598,15808,18839,2750,15838,4345,754,3501,7737,37495,306,57,246,6165,28979,7.1,8,8.2,7.9,7.8,8.1,7.7,7.7,8.2,7.6,8.2,8,7.8,8.2,8.6,8.2,8,7.8,7503
"I, Daniel Blake",2016,7.9,"28,350",Drama,,,78,,"Opening Weekend:         18,682              (USA)      (2 June 2017)",1355,91,131,226,550,1668,5309,9651,5803,180,8913,1792,7022,9567,1628,7794,3313,535,2732,4275,18739,101,20,81,1443,16641,6.9,7.9,8.1,7.9,7.8,8.1,7.8,8,8.2,8,8.1,9.1,7.8,7.8,8.2,7.7,7.6,7.9,3576
Inception,2010,8.8,"1,609,713",Action,Adventure,Sci-Fi,74,148 min,"$160,000,000 ",15365,5243,6631,10050,20595,46393,130972,304457,485218,885,655187,136770,512411,472680,73555,392845,79634,12795,65508,239796,1044318,5678,1184,4462,212524,707266,8.2,9,8.8,9,8.7,8.5,8.7,8.1,8,8.1,8.7,8.6,8.8,9.1,9,9.1,8.7,8.8,584839
Inside Out,2015,8.2,"430,229",Animation,Adventure,Comedy,94,95 min,"$175,000,000 ",3450,1123,1872,3349,8542,24210,67153,119801,113244,587,170056,46685,121574,108560,20516,86312,18694,3416,14910,79081,244433,3361,1040,2294,48297,176446,7.6,8.3,8.3,8.3,8.1,8.1,8.1,7.9,7.9,7.9,8.2,8.6,8.2,8.4,8.3,8.4,8.2,8.1,87509
Interstellar,2014,8.6,"1,075,163",Adventure,Drama,Sci-Fi,74,169 min,"$165,000,000 ",10530,4113,5592,8657,17423,40514,103323,199884,291172,730,414718,72554,338261,273267,36187,232939,52157,7337,43831,128771,682280,5735,1104,4596,99615,415283,7.9,8.8,8.6,8.9,8.4,8.2,8.4,7.9,7.7,7.9,8.4,8.2,8.6,8.9,8.8,8.9,8.4,8.5,394006
Kick-Ass,2010,7.7,"461,860",Action,Comedy,,66,117 min,"$30,000,000 ",6102,2842,4074,7398,16195,41417,103305,143023,77776,794,191541,33796,155998,164120,18328,143952,25423,2756,22259,57638,336585,1314,305,1001,75909,244929,7.1,7.7,7.5,7.7,7.7,7.5,7.7,7.6,7.4,7.7,7.5,7.7,7.7,7.9,7.9,7.9,7.8,7.7,59740
Kingsman: The Secret Service,2014,7.7,"450,500",Action,Adventure,Comedy,,129 min,"$81,000,000 ",3941,2110,3192,5695,13388,36464,95539,142690,85369,653,174482,35900,136669,122842,17968,103094,26611,4386,21772,64396,285835,2691,621,2044,48632,193458,7.2,7.9,7.9,7.9,7.5,7.6,7.5,7.5,7.6,7.5,7.8,7.4,7.7,8.4,8.6,8.3,7.7,7.6,62137
Kubo and the Two Strings,2016,7.8,"78,588",Animation,Adventure,Family,84,,"Opening Weekend:         12,608,372              (USA)      (19 August 2016)",451,215,341,645,1893,5936,16686,25396,16153,296,30434,5686,24438,22571,3126,19123,4028,614,3328,10485,50701,442,89,350,11678,33369,7.1,7.9,8,7.9,7.7,7.9,7.7,7.8,8.1,7.7,8,8,7.8,8,8.6,7.9,7.9,7.7,10880
La La Land,2016,8.2,"290,330",Comedy,Drama,Music,93,128 min,"$30,000,000 ",6802,2407,2839,3998,8044,17377,38831,64640,71191,454,113008,32730,78998,66058,14165,50835,15765,3302,12148,56713,157693,2675,868,1784,33360,117987,7.1,8.4,8.2,8.4,7.9,7.8,7.9,7.6,7.5,7.6,8.1,8.4,8.2,8.9,8.7,9,8.3,8.1,74245
Les Miserables,2012,7.6,"260,178",Drama,Musical,Romance,63,158 min,"$61,000,000 ",5020,2490,3484,5551,10744,22393,45160,63323,47750,623,112609,42720,68687,69385,18632,49760,18404,5282,12811,73591,141014,972,456,502,42302,112787,6.6,7.8,8,7.7,7.3,7.6,7.2,7.4,7.7,7.3,7.9,7.5,7.5,7.9,8.4,7.6,7.6,7.5,54268
Lion,2016,8.1,"123,032",Biography,Drama,,69,118 min,"$12,000,000 ",493,182,309,558,1669,5842,20296,40564,29830,298,42962,12780,29729,34297,7413,26384,9054,2184,6714,24977,68921,702,220,477,13478,53931,7.1,8.1,8.4,8,8,8.2,7.9,8,8.4,7.9,8.4,8.4,8,8.3,8.7,8.2,8.1,8,23325
Lone Survivor,2013,7.5,"222,343",Action,Biography,Drama,,121 min,"$40,000,000 ",2133,887,1409,2727,7205,20772,54195,68808,33356,518,79483,7205,71556,71559,6225,64441,16429,2027,14140,17260,163657,602,66,529,32733,95220,6.8,7.7,7.8,7.7,7.3,7.6,7.3,7.5,7.8,7.4,7.7,7.1,7.5,7.9,8.3,7.9,7.8,7.3,30856
Mad Max: Fury Road,2015,8.1,"649,540",Action,Adventure,Sci-Fi,90,120 min,"$150,000,000 ",10516,4930,6743,9932,19505,42636,97218,163494,158403,726,238202,37751,198026,183637,21373,159520,34848,4209,29980,69670,424435,3159,456,2682,73080,267084,8,8.3,8.1,8.3,8,7.8,8,7.5,7.2,7.5,7.9,8.6,8.1,8.5,8.4,8.6,8.2,8,136194
Manchester by the Sea,2016,7.9,"150,266",Drama,,,96,137 min,"$8,500,000 ",1834,888,1233,1976,4539,11879,29626,46596,33532,402,55475,11378,43467,40645,7053,32983,11361,2306,8862,22834,92452,855,166,681,20287,65837,7.1,8,7.8,8.1,7.7,7.7,7.7,7.6,7.6,7.6,7.7,8,7.9,8.5,8.1,8.5,7.9,7.8,18191
